m,unknowns,carry_bits
4559,22,15
5141,27,18
5723,24,16
5917,27,18
6499,26,17
6887,24,16
7081,29,19
7663,23,15
8051,26,17
8633,32,22
9409,34,24
303,0,0
505,14,8
707,14,9
1111,16,11
1313,20,13
1717,21,13
1919,16,10
2323,22,15
2929,23,15
3131,22,15
3737,27,18
4141,28,19
4343,23,16
4747,27,19
5353,26,17
5959,22,15
6161,30,21
6767,23,15
7171,28,19
7373,30,20
7979,26,17
8383,26,18
8989,33,23
9797,34,24
10201,33,23
309,9,4
515,16,11
721,17,11
1133,21,14
1339,17,11
1751,17,11
1957,21,13
2369,25,17
2987,20,13
3193,25,17
3811,22,14
4223,22,15
4429,28,19
4841,28,19
5459,24,16
6077,26,17
6283,27,19
6901,28,18
7313,31,21
7519,23,15
8137,30,20
8549,32,22
9167,26,18
9991,28,20
10403,27,18
10609,31,21
321,7,4
535,12,8
749,14,8
1177,22,15
1391,14,9
1819,19,12
2033,22,14
2461,24,16
3103,19,13
3317,24,16
3959,20,13
4387,26,18
4601,28,19
5029,28,19
5671,22,15
6313,29,20
6527,22,15
7169,32,22
7597,28,18
7811,28,19
8453,33,23
8881,32,22
9523,29,20
10379,31,22
10807,25,17
11021,31,21
11449,30,20
327,3,2
545,19,13
763,6,3
1199,16,11
1417,20,13
1853,21,13
2071,20,14
2507,22,15
3161,25,17
3379,22,15
4033,26,17
4469,27,18
4687,22,15
5123,25,17
5777,28,19
6431,23,16
6649,28,19
7303,25,17
7739,26,17
7957,30,20
8611,29,20
9047,28,20
9701,31,21
10573,31,21
11009,32,22
11227,28,19
11663,24,16
11881,31,21
339,0,0
565,17,11
791,12,8
1243,19,13
1469,19,12
1921,22,14
2147,22,15
2599,18,12
3277,24,16
3503,19,13
4181,28,19
4633,30,21
4859,25,17
5311,21,14
5989,25,16
6667,27,19
6893,27,18
7571,27,18
8023,25,17
8249,33,23
8927,26,18
9379,29,20
10057,34,24
10961,34,24
11413,33,23
11639,25,17
12091,27,18
12317,34,24
12769,32,22
381,0,0
635,10,5
889,0,0
1397,19,12
1651,19,13
2159,19,13
2413,24,16
2921,23,15
3683,15,10
3937,0,0
4699,26,18
5207,22,15
5461,26,17
5969,27,18
6731,26,18
7493,21,14
7747,10,8
8509,32,22
9017,33,23
9271,27,19
10033,33,23
10541,30,20
11303,25,17
12319,26,18
12827,31,22
13081,34,24
13589,33,23
13843,31,22
14351,19,13
16129,27,19
393,3,1
655,0,0
917,17,10
1441,17,11
1703,17,11
2227,0,0
2489,12,7
3013,20,13
3799,20,13
4061,24,15
4847,10,6
5371,21,14
5633,24,16
6157,31,21
6943,24,16
7729,30,20
7991,25,17
8777,15,10
9301,22,15
9563,19,13
10349,26,17
10873,27,18
11659,24,16
12707,31,21
13231,27,18
13493,34,23
14017,35,24
14279,30,21
14803,33,23
16637,37,26
17161,9,5
411,0,0
685,0,0
959,4,2
1507,10,6
1781,21,13
2329,12,7
2603,17,11
3151,19,12
3973,24,15
4247,23,16
5069,16,10
5617,24,16
5891,21,14
6439,25,17
7261,30,20
8083,27,18
8357,31,21
9179,0,0
9727,12,7
10001,22,15
10823,22,15
11371,24,16
12193,27,18
13289,33,22
13837,34,23
14111,27,18
14659,33,23
14933,34,23
15481,35,24
17399,31,22
17947,16,11
18769,26,18
417,7,4
695,0,0
973,17,10
1529,13,7
1807,16,10
2363,0,0
2641,21,14
3197,24,15
4031,19,12
4309,27,18
5143,18,12
5699,21,14
5977,24,16
6533,29,19
7367,25,17
8201,35,25
8479,27,19
9313,23,16
9869,22,15
10147,19,13
10981,26,17
11537,27,18
12371,33,23
13483,32,22
14039,30,21
14317,32,21
14873,35,24
15151,27,18
15707,33,23
17653,37,26
18209,18,12
19043,22,15
19321,25,17
447,0,0
745,4,1
1043,18,12
1639,17,11
1937,22,14
2533,13,8
2831,15,10
3427,22,14
4321,28,19
4619,25,17
5513,24,16
6109,23,15
6407,26,18
7003,27,18
7897,30,20
8791,29,21
9089,33,23
9983,12,7
10579,24,16
10877,26,17
11771,24,16
12367,29,20
13261,34,23
14453,34,23
15049,35,24
15347,30,20
15943,30,21
16241,33,22
16837,38,27
18923,34,24
19519,19,13
20413,24,16
20711,25,17
22201,30,20
453,9,4
755,6,3
1057,22,15
1661,21,13
1963,19,12
2567,15,10
2869,20,13
3473,25,16
4379,25,17
4681,28,19
5587,21,14
6191,24,16
6493,29,19
7097,29,19
8003,27,18
8909,32,22
9211,28,19
10117,21,14
10721,27,18
11023,21,14
11929,27,18
12533,34,23
13439,29,20
14647,29,20
15251,32,22
15553,36,25
16157,34,23
16459,36,26
17063,32,23
19177,37,26
19781,25,17
20687,24,16
20989,29,19
22499,27,18
22801,32,22
471,5,2
785,19,12
1099,18,12
1727,15,9
2041,22,14
2669,19,12
2983,15,10
3611,22,14
4553,28,19
4867,25,17
5809,24,16
6437,29,19
6751,23,15
7379,27,18
8321,34,24
9263,27,19
9577,32,22
10519,22,15
11147,24,16
11461,26,17
12403,32,22
13031,29,20
13973,34,23
15229,32,21
15857,34,23
16171,30,20
16799,31,22
17113,38,27
17741,38,27
19939,34,24
20567,27,19
21509,32,22
21823,25,17
23393,31,21
23707,28,19
24649,40,28
489,9,4
815,9,5
1141,17,10
1793,22,14
2119,20,14
2771,18,12
3097,25,16
3749,24,15
4727,23,16
5053,27,18
6031,18,12
6683,29,20
7009,29,19
7661,27,17
8639,26,18
9617,33,23
9943,28,20
10921,27,18
11573,26,17
11899,24,16
12877,34,23
13529,36,25
14507,32,22
15811,33,23
16463,32,23
16789,38,27
17441,38,27
17767,32,23
18419,33,23
20701,38,27
21353,31,21
22331,28,19
22657,32,22
24287,24,16
24613,38,26
25591,32,22
26569,39,27
501,9,4
835,16,10
1169,22,15
1837,21,13
2171,22,15
2839,14,9
3173,24,15
3841,25,16
4843,25,17
5177,26,17
6179,27,18
6847,23,15
7181,31,21
7849,29,19
8851,31,22
9853,31,21
10187,29,20
11189,26,17
11857,27,18
12191,21,14
13193,35,24
13861,33,22
14863,28,19
16199,30,21
16867,34,24
17201,36,25
17869,38,27
18203,35,25
18871,32,23
21209,36,25
21877,30,20
22879,25,17
23213,29,19
24883,35,24
25217,40,28
26219,35,24
27221,39,27
27889,38,26
519,7,3
865,19,12
1211,15,9
1903,16,10
2249,25,17
2941,19,12
3287,20,13
3979,22,14
5017,28,19
5363,23,15
6401,31,21
7093,28,18
7439,24,16
8131,26,17
9169,32,22
10207,25,17
10553,31,21
11591,22,15
12283,24,16
12629,35,24
13667,31,21
14359,31,22
15397,34,23
16781,38,27
17473,39,28
17819,36,26
18511,32,23
18857,37,26
19549,38,27
21971,36,26
22663,26,18
23701,31,21
24047,24,16
25777,38,26
26123,36,25
27161,40,28
28199,32,22
28891,37,26
29929,38,26
537,11,5
895,0,0
1253,21,14
1969,22,14
2327,19,13
3043,18,12
3401,25,16
4117,27,18
5191,21,14
5549,25,16
6623,22,14
7339,26,17
7697,32,22
8413,32,22
9487,27,19
10561,31,21
10919,25,17
11993,27,18
12709,33,22
13067,32,22
14141,32,21
14857,35,24
15931,31,21
17363,35,25
18079,31,22
18437,38,27
19153,38,27
19511,33,24
20227,35,25
22733,38,27
23449,31,21
24523,28,19
24881,39,27
26671,33,23
27029,39,27
28103,34,24
29177,39,27
29893,38,26
30967,34,24
32041,38,26
543,3,1
905,18,11
1267,15,9
1991,17,11
2353,25,17
3077,24,15
3439,19,12
4163,25,17
5249,26,17
5611,23,15
6697,30,20
7421,27,17
7783,24,16
8507,30,21
9593,32,22
10679,25,17
11041,31,21
12127,21,14
12851,31,21
13213,34,23
14299,32,22
15023,28,19
16109,33,22
17557,38,27
18281,36,25
18643,36,26
19367,31,22
19729,39,28
20453,35,24
22987,36,26
23711,24,16
24797,39,27
25159,34,24
26969,40,28
27331,37,26
28417,39,27
29503,31,21
30227,36,25
31313,40,28
32399,31,21
32761,38,26
573,11,5
955,13,7
1337,18,11
2101,24,16
2483,22,15
3247,19,12
3629,24,15
4393,28,19
5539,23,15
5921,26,17
7067,27,18
7831,26,18
8213,34,24
8977,34,24
10123,30,21
11269,34,24
11651,28,19
12797,33,22
13561,35,24
13943,29,20
15089,34,23
15853,33,22
16999,32,23
18527,32,23
19291,35,25
19673,39,28
20437,37,26
20819,36,26
21583,32,23
24257,36,25
25021,38,26
26167,32,22
26549,37,25
28459,34,23
28841,39,27
29987,34,23
31133,39,27
31897,39,27
33043,40,29
34189,41,29
34571,39,28
36481,42,30
579,0,0
965,18,11
1351,12,7
2123,22,15
2509,24,16
3281,25,16
3667,22,14
4439,23,16
5597,25,16
5983,20,13
7141,27,17
7913,28,18
8299,29,20
9071,26,18
10229,30,20
11387,27,18
11773,28,18
12931,32,22
13703,31,22
14089,35,24
15247,27,18
16019,32,22
17177,38,27
18721,37,26
19493,37,26
19879,32,23
20651,35,25
21037,34,23
21809,37,26
24511,28,19
25283,37,26
26441,39,27
26827,37,26
28757,39,27
29143,35,25
30301,38,26
31459,36,25
32231,32,22
33389,41,29
34547,38,27
34933,41,29
36863,33,23
37249,43,31
591,0,0
985,18,11
1379,17,11
2167,19,13
2561,23,15
3349,24,15
3743,19,12
4531,25,17
5713,26,17
6107,23,15
7289,29,19
8077,29,19
8471,29,21
9259,30,21
10441,33,23
11623,25,17
12017,29,19
13199,27,18
13987,31,21
14381,34,23
15563,33,23
16351,27,18
17533,37,26
19109,36,25
19897,37,26
20291,35,25
21079,31,22
21473,34,23
22261,34,23
25019,34,24
25807,32,22
26989,38,26
27383,33,23
29353,39,27
29747,35,24
30929,40,28
32111,31,21
32899,40,29
34081,41,29
35263,35,25
35657,43,31
37627,39,28
38021,41,29
38809,42,30
597,11,5
995,16,10
1393,20,13
2189,24,16
2587,20,13
3383,20,13
3781,24,15
4577,28,19
5771,23,15
6169,28,19
7363,27,18
8159,22,14
8557,31,21
9353,34,24
10547,28,19
11741,29,19
12139,27,18
13333,35,24
14129,33,22
14527,29,20
15721,34,23
16517,38,27
17711,31,22
19303,31,22
20099,35,25
20497,39,28
21293,33,22
21691,35,25
22487,31,22
25273,37,26
26069,38,26
27263,32,22
27661,38,26
29651,37,26
30049,38,26
31243,37,26
32437,37,25
33233,43,31
34427,38,27
35621,41,29
36019,38,27
38009,41,29
38407,36,26
39203,38,27
39601,42,30
633,11,5
1055,10,7
1477,19,12
2321,25,17
2743,17,11
3587,22,14
4009,25,16
4853,27,18
6119,21,14
6541,27,18
7807,23,15
8651,29,20
9073,32,22
9917,31,21
11183,24,16
12449,32,22
12871,29,21
14137,33,22
14981,34,23
15403,32,22
16669,38,27
17513,38,27
18779,36,26
20467,33,23
21311,28,19
21733,37,26
22577,38,27
22999,34,25
23843,34,24
26797,37,26
27641,39,27
28907,36,25
29329,40,28
31439,32,22
31861,37,25
33127,36,26
34393,42,30
35237,41,29
36503,36,26
37769,43,31
38191,34,24
40301,40,28
40723,39,28
41567,35,25
41989,39,27
44521,39,27
669,9,4
1115,14,8
1561,21,14
2453,24,16
2899,20,13
3791,19,12
4237,27,18
5129,26,17
6467,25,17
6913,28,19
8251,30,21
9143,27,19
9589,31,21
10481,29,19
11819,28,19
13157,31,21
13603,30,21
14941,34,23
15833,36,25
16279,30,21
17617,39,28
18509,38,27
19847,34,25
21631,32,23
22523,31,21
22969,37,26
23861,36,25
24307,32,22
25199,31,22
28321,37,26
29213,39,27
30551,33,23
30997,39,27
33227,40,29
33673,43,31
35011,40,29
36349,40,28
37241,42,30
38579,38,27
39917,41,29
40363,37,26
42593,39,27
43039,36,26
43931,40,29
44377,40,28
47053,39,27
49729,43,31
681,9,4
1135,9,5
1589,20,13
2497,25,17
2951,18,12
3859,22,14
4313,28,19
5221,25,16
6583,23,16
7037,27,18
8399,25,17
9307,31,22
9761,33,23
10669,29,19
12031,23,15
13393,34,24
13847,30,22
15209,33,22
16117,33,22
16571,35,25
17933,37,26
18841,39,28
20203,34,24
22019,33,23
22927,31,22
23381,35,24
24289,35,24
24743,33,24
25651,35,25
28829,38,27
29737,38,26
31099,35,24
31553,40,28
33823,35,25
34277,40,28
35639,35,25
37001,43,31
37909,41,29
39271,36,26
40633,41,29
41087,36,26
43357,42,30
43811,38,27
44719,32,22
45173,41,29
47897,43,31
50621,40,28
51529,43,31
687,0,0
1145,20,13
1603,19,13
2519,19,13
2977,23,15
3893,24,15
4351,22,15
5267,23,15
6641,28,19
7099,25,17
8473,34,24
9389,31,21
9847,27,19
10763,32,23
12137,30,20
13511,28,20
13969,34,24
15343,27,18
16259,32,22
16717,38,27
18091,34,24
19007,31,22
20381,37,26
22213,35,24
23129,36,25
23587,35,25
24503,29,20
24961,39,28
25877,38,27
29083,36,26
29999,31,21
31373,39,27
31831,34,24
34121,42,30
34579,39,28
35953,41,29
37327,35,25
38243,37,26
39617,43,31
40991,36,26
41449,42,30
43739,40,29
44197,38,26
45113,42,30
45571,40,29
48319,33,23
51067,37,26
51983,34,24
52441,42,30
699,0,0
1165,20,13
1631,0,0
2563,20,13
3029,22,14
3961,25,16
4427,25,17
5359,20,13
6757,27,18
7223,16,11
8621,31,21
9553,33,23
10019,30,21
10951,28,20
12349,32,22
13747,29,20
14213,32,22
15611,32,22
16543,32,23
17009,37,26
18407,31,22
19339,35,25
20737,39,28
22601,39,28
23533,33,22
23999,31,22
24931,34,24
25397,35,24
26329,38,27
29591,30,21
30523,34,23
31921,38,26
32387,36,25
34717,41,29
35183,35,25
36581,40,28
37979,39,28
38911,33,23
40309,40,28
41707,39,28
42173,38,26
44503,35,25
44969,39,27
45901,42,30
46367,32,22
49163,40,29
51959,36,26
52891,39,28
53357,41,29
54289,42,30
717,7,4
1195,16,10
1673,21,14
2629,22,14
3107,22,15
4063,19,12
4541,27,18
5497,26,17
6931,25,17
7409,21,14
8843,31,22
9799,29,21
10277,30,20
11233,29,19
12667,29,20
14101,33,23
14579,21,14
16013,34,23
16969,38,27
17447,33,24
18881,39,28
19837,36,25
21271,31,22
23183,29,20
24139,33,23
24617,38,27
25573,35,24
26051,36,26
27007,31,22
30353,35,24
31309,39,27
32743,31,21
33221,42,30
35611,40,29
36089,41,29
37523,40,29
38957,41,29
39913,42,30
41347,40,29
42781,39,27
43259,39,28
45649,43,31
46127,33,23
47083,35,24
47561,43,31
50429,40,28
53297,42,30
54253,41,29
54731,39,28
55687,38,28
57121,41,29
723,0,0
1205,20,13
1687,15,10
2651,20,13
3133,24,16
4097,28,19
4579,25,17
5543,21,14
6989,27,18
7471,11,8
8917,32,22
9881,34,24
10363,27,18
11327,25,17
12773,30,20
14219,30,21
14701,28,18
16147,32,22
17111,33,24
17593,38,27
19039,31,22
20003,34,24
21449,36,25
23377,36,25
24341,35,24
24823,33,24
25787,35,25
26269,37,26
27233,37,26
30607,18,13
31571,37,26
33017,42,30
33499,40,29
35909,41,29
36391,35,25
37837,42,30
39283,38,27
40247,35,25
41693,42,30
43139,40,29
43621,41,29
46031,34,24
46513,39,27
47477,41,29
47959,37,27
50851,38,27
53743,35,25
54707,37,26
55189,41,29
56153,43,31
57599,36,26
58081,42,30
753,3,1
1255,10,5
1757,4,3
2761,23,15
3263,18,12
4267,25,17
4769,28,19
5773,25,16
7279,15,10
7781,12,9
9287,29,21
10291,28,19
10793,31,21
11797,34,24
13303,26,18
14809,25,17
15311,14,10
16817,37,26
17821,38,27
18323,35,25
19829,36,25
20833,37,26
22339,33,23
24347,33,23
25351,33,24
25853,37,26
26857,38,27
27359,31,22
28363,35,25
31877,38,27
32881,42,30
34387,39,28
34889,43,31
37399,37,27
37901,41,29
39407,35,25
40913,42,30
41917,41,29
43423,35,25
44929,40,28
45431,36,26
47941,42,30
48443,35,24
49447,36,26
49949,42,30
52961,41,29
55973,41,29
56977,42,30
57479,38,28
58483,35,24
59989,42,30
60491,36,25
63001,35,25
771,0,0
1285,0,0
1799,15,9
2827,9,5
3341,24,15
4369,0,0
4883,0,0
5911,17,11
7453,27,17
7967,22,14
9509,21,14
10537,27,18
11051,24,16
12079,21,14
13621,33,22
15163,30,20
15677,33,22
17219,0,0
18247,11,7
18761,26,18
20303,19,13
21331,27,18
22873,30,20
24929,39,27
25957,37,25
26471,33,23
27499,36,25
28013,37,25
29041,39,27
32639,32,22
33667,0,0
35209,22,15
35723,19,13
38293,27,18
38807,23,16
40349,27,18
41891,31,21
42919,29,20
44461,34,23
46003,31,21
46517,34,23
49087,28,19
49601,44,31
50629,43,30
51143,39,28
54227,41,29
57311,36,25
58339,40,28
58853,42,29
59881,42,29
61423,36,25
61937,43,30
64507,39,27
66049,0,0
789,5,3
1315,4,3
1841,22,14
2893,19,12
3419,22,14
4471,0,0
4997,17,11
6049,24,16
7627,25,16
8153,28,18
9731,20,14
10783,20,13
11309,26,17
12361,34,23
13939,30,20
15517,34,23
16043,30,20
17621,17,11
18673,26,18
19199,18,12
20777,31,21
21829,29,19
23407,24,16
25511,34,24
26563,36,25
27089,40,28
28141,37,25
28667,35,24
29719,34,24
33401,42,30
34453,10,5
36031,13,8
36557,20,13
39187,26,18
39713,29,20
41291,33,23
42869,33,22
43921,36,25
45499,32,22
47077,32,21
47603,30,20
50233,43,30
50759,39,28
51811,39,27
52337,42,29
55493,42,29
58649,44,31
59701,41,28
60227,40,28
61279,36,25
62857,44,31
63383,39,28
66013,46,33
67591,14,10
69169,16,10
807,3,2
1345,6,3
1883,16,9
2959,14,9
3497,25,16
4573,0,0
5111,5,3
6187,25,16
7801,28,18
8339,28,19
9953,22,15
11029,26,17
11567,21,14
12643,29,19
14257,32,21
15871,25,16
16409,39,28
18023,11,7
19099,22,15
19637,25,17
21251,28,19
22327,26,18
23941,30,20
26093,37,25
27169,39,27
27707,35,24
28783,33,23
29321,40,28
30397,37,25
34163,38,27
35239,17,12
36853,20,13
37391,23,16
40081,28,19
40619,25,17
42233,34,23
43847,31,22
44923,31,21
46537,35,24
48151,33,24
48689,36,25
51379,39,27
51917,42,29
52993,43,30
53531,41,29
56759,37,26
59987,40,28
61063,38,27
61601,43,30
62677,43,30
64291,39,27
64829,41,28
67519,40,29
69133,19,13
70747,23,16
72361,26,18
813,7,4
1355,6,3
1897,20,12
2981,19,12
3523,22,14
4607,0,0
5149,22,14
6233,28,18
7859,25,16
8401,31,21
10027,18,12
11111,22,15
11653,26,17
12737,33,22
14363,33,23
15989,32,21
16531,35,25
18157,14,8
19241,25,17
19783,21,15
21409,31,21
22493,29,19
24119,26,18
26287,32,22
27371,36,25
27913,39,27
28997,39,27
29539,36,25
30623,32,22
34417,41,29
35501,22,15
37127,24,17
37669,28,19
40379,25,17
40921,28,19
42547,33,23
44173,36,25
45257,35,24
46883,32,22
48509,33,22
49051,33,23
51761,42,29
52303,36,25
53387,41,29
53929,43,30
57181,42,29
60433,43,30
61517,43,30
62059,40,28
63143,38,27
64769,43,30
65311,36,25
68021,44,31
69647,20,14
71273,26,18
72899,22,15
73441,25,17
831,0,0
1385,4,1
1939,18,11
3047,13,8
3601,25,16
4709,15,9
5263,18,12
6371,25,16
8033,28,18
8587,28,19
10249,27,18
11357,26,17
11911,22,15
13019,30,20
14681,34,23
16343,28,19
16897,38,27
18559,19,13
19667,23,16
20221,24,16
21883,27,18
22991,24,16
24653,39,27
26869,38,26
27977,39,27
28531,35,24
29639,35,25
30193,38,26
31301,39,27
35179,39,28
36287,13,8
37949,27,18
38503,23,16
41273,36,25
41827,31,21
43489,33,22
45151,29,20
46259,33,23
47921,35,24
49583,37,26
50137,44,31
52907,39,27
53461,43,30
54569,43,30
55123,41,29
58447,37,26
61771,41,29
62879,37,26
63433,44,31
64541,42,29
66203,44,32
66757,46,33
69527,41,30
71189,25,17
72851,22,15
74513,33,23
75067,29,20
76729,31,21
843,3,1
1405,0,0
1967,11,6
3091,22,14
3653,24,15
4777,14,8
5339,20,13
6463,22,14
8149,27,17
8711,26,18
10397,26,17
11521,27,18
12083,24,16
13207,29,20
14893,33,22
16579,33,23
17141,34,23
18827,23,16
19951,20,14
20513,31,21
22199,26,18
23323,28,19
25009,39,27
27257,39,27
28381,38,26
28943,33,23
30067,35,24
30629,37,25
31753,39,27
35687,37,27
36811,18,12
38497,28,19
39059,26,18
41869,35,24
42431,29,20
44117,35,24
45803,31,21
46927,28,19
48613,32,21
50299,40,28
50861,42,29
53671,38,27
54233,44,31
55357,41,28
55919,36,25
59291,41,29
62663,39,28
63787,39,27
64349,42,29
65473,43,30
67159,42,31
67721,46,33
70531,44,32
72217,27,19
73903,26,18
75589,32,22
76151,26,18
77837,33,23
78961,32,22
849,9,4
1415,6,3
1981,17,9
3113,25,16
3679,18,11
4811,6,3
5377,24,16
6509,27,17
8207,25,17
8773,30,20
10471,22,15
11603,24,16
12169,27,18
13301,30,19
14999,29,20
16697,37,26
17263,29,20
18961,25,17
20093,24,16
20659,28,19
22357,29,19
23489,30,20
25187,36,25
27451,36,25
28583,33,23
29149,39,27
30281,39,27
30847,33,23
31979,35,24
35941,40,28
37073,29,20
38771,25,17
39337,29,20
42167,31,22
42733,33,22
44431,29,20
46129,37,26
47261,36,25
48959,29,20
50657,43,30
51223,38,27
54053,42,29
54619,41,29
55751,38,27
56317,41,28
59713,43,30
63109,43,30
64241,42,29
64807,37,26
65939,44,32
67637,44,31
68203,42,30
71033,46,33
72731,23,16
74429,31,21
76127,25,17
76693,31,21
78391,27,19
79523,29,20
80089,34,24
879,0,0
1465,2,1
2051,22,15
3223,19,12
3809,25,16
4981,14,8
5567,17,11
6739,25,16
8497,31,21
9083,28,19
10841,27,18
12013,26,17
12599,29,20
13771,30,20
15529,34,23
17287,32,23
17873,36,25
19631,20,14
20803,27,18
21389,30,20
23147,27,18
24319,24,16
26077,38,26
28421,38,26
29593,40,28
30179,35,24
31351,34,24
31937,39,27
33109,42,30
37211,40,29
38383,22,15
40141,27,18
40727,23,16
43657,36,25
44243,32,22
46001,34,23
47759,29,20
48931,32,22
50689,44,31
52447,36,25
53033,42,29
55963,40,28
56549,41,28
57721,43,30
58307,41,29
61823,37,26
65339,39,27
66511,40,29
67097,47,34
68269,44,31
70027,44,32
70613,46,33
73543,41,30
75301,31,21
77059,29,20
78817,32,22
79403,29,20
81161,32,22
82333,39,27
82919,33,23
85849,41,29
921,11,6
1535,0,0
2149,24,16
3377,25,16
3991,19,12
5219,21,14
5833,23,15
7061,27,17
8903,26,18
9517,30,20
11359,20,13
12587,31,21
13201,34,23
14429,33,22
16271,26,17
18113,36,25
18727,32,23
20569,30,20
21797,30,20
22411,28,19
24253,30,20
25481,40,28
27323,36,25
29779,36,25
31007,33,23
31621,39,27
32849,43,31
33463,37,27
34691,39,28
38989,42,30
40217,28,19
42059,33,23
42673,35,24
45743,29,20
46357,37,26
48199,31,22
50041,43,30
51269,42,29
53111,37,26
54953,43,30
55567,36,25
58637,43,30
59251,40,28
60479,36,25
61093,41,28
64777,43,30
68461,44,31
69689,46,33
70303,40,29
71531,43,31
73373,45,32
73987,44,32
77057,46,33
78899,29,20
80741,30,20
82583,34,24
83197,38,26
85039,34,24
86267,36,25
86881,41,29
89951,33,23
94249,41,29
933,11,6
1555,18,11
2177,25,17
3421,24,15
4043,22,14
5287,18,12
5909,23,15
7153,28,18
9019,28,19
9641,31,21
11507,24,16
12751,25,16
13373,34,23
14617,36,25
16483,33,23
18349,34,23
18971,35,25
20837,29,19
22081,30,20
22703,25,17
24569,30,20
25813,38,26
27679,32,22
30167,34,24
31411,36,25
32033,38,26
33277,41,29
33899,38,27
35143,38,28
39497,43,31
40741,27,18
42607,29,20
43229,34,23
46339,35,25
46961,34,23
48827,32,22
50693,43,30
51937,42,29
53803,40,28
55669,41,28
56291,39,27
59401,43,30
60023,37,26
61267,40,28
61889,44,31
65621,46,33
69353,45,32
70597,46,33
71219,43,31
72463,39,28
74329,47,34
74951,42,31
78061,45,32
79927,26,18
81793,32,22
83659,36,25
84281,41,29
86147,37,26
87391,34,24
88013,39,27
91123,35,24
95477,38,26
96721,40,28
939,5,3
1565,19,11
2191,16,11
3443,22,14
4069,24,15
5321,23,15
5947,20,13
7199,22,14
9077,30,20
